Gene,Cluster
ENSG00000095002,16
ENSG00000095015,6
ENSG00000095139,19
ENSG00000095203,19
ENSG00000095319,15
ENSG00000095321,2
ENSG00000095370,12
ENSG00000095383,19
ENSG00000095539,8
ENSG00000095585,17
ENSG00000095637,4
ENSG00000095739,16
ENSG00000095787,2
ENSG00000095794,14
ENSG00000095932,10
ENSG00000095951,19
ENSG00000096060,16
ENSG00000096063,7
ENSG00000096092,11
ENSG00000096093,8
ENSG00000096654,2
ENSG00000096696,2
ENSG00000096717,5
ENSG00000096872,12
ENSG00000097021,15
ENSG00000097046,15
ENSG00000097096,2
ENSG00000099139,6
ENSG00000099250,11
ENSG00000099251,18
ENSG00000099282,4
ENSG00000099290,18
ENSG00000099330,4
ENSG00000099331,16
ENSG00000099365,18
ENSG00000099377,10
ENSG00000099617,10
ENSG00000099622,13
ENSG00000099624,5
ENSG00000099625,1
ENSG00000099800,15
ENSG00000099810,16
ENSG00000099821,15
ENSG00000099849,1
ENSG00000099860,1
ENSG00000099875,20
ENSG00000099889,6
ENSG00000099899,1
ENSG00000099901,15
ENSG00000099904,10
ENSG00000099910,10
ENSG00000099937,11
ENSG00000099953,8
ENSG00000099968,3
ENSG00000099974,5
ENSG00000100014,16
ENSG00000100027,3
ENSG00000100029,15
ENSG00000100031,4
ENSG00000100033,4
ENSG00000100058,9
ENSG00000100065,1
ENSG00000100075,4
ENSG00000100084,7
ENSG00000100092,19
ENSG00000100099,2
ENSG00000100100,2
ENSG00000100138,15
ENSG00000100139,19
ENSG00000100154,20
ENSG00000100162,15
ENSG00000100181,18
ENSG00000100196,6
ENSG00000100206,16
ENSG00000100216,11
ENSG00000100219,1
ENSG00000100239,20
ENSG00000100241,1
ENSG00000100246,4
ENSG00000100258,6
ENSG00000100271,10
ENSG00000100281,5
ENSG00000100284,12
ENSG00000100290,3
ENSG00000100294,15
ENSG00000100296,9
ENSG00000100297,16
ENSG00000100298,18
ENSG00000100299,10
ENSG00000100304,7
ENSG00000100307,18
ENSG00000100311,1
ENSG00000100319,9
ENSG00000100321,8
ENSG00000100325,11
ENSG00000100330,3
ENSG00000100342,10
ENSG00000100350,5
ENSG00000100354,2
ENSG00000100360,20
ENSG00000100364,6
ENSG00000100372,7
ENSG00000100395,7
ENSG00000100401,11
ENSG00000100410,15
ENSG00000100413,7
ENSG00000100417,3
ENSG00000100418,7
ENSG00000100422,18
ENSG00000100426,19
ENSG00000100429,8
ENSG00000100439,12
ENSG00000100441,18
ENSG00000100462,11
ENSG00000100479,16
ENSG00000100483,19
ENSG00000100485,3
ENSG00000100522,7
ENSG00000100526,11
ENSG00000100528,15
ENSG00000100558,19
ENSG00000100575,11
ENSG00000100577,12
ENSG00000100583,15
ENSG00000100591,11
ENSG00000100596,4
ENSG00000100612,10
ENSG00000100625,13
ENSG00000100644,19
ENSG00000100664,11
