"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"CMSS1","PI5Z_24h","PI5Z","24h",-1.03773480321279,4.73207766331277e-07
"CNOT7P1","PI5Z_8h","PI5Z","8h",-2.19764118356677,0.00315149620058819
"CNPY4","PI5Z_24h","PI5Z","24h",1.06569774157434,5.97928441550643e-05
"CNTNAP1","PI5Z_8h","PI5Z","8h",1.1548084171123,5.3499503210318e-08
"CNTRL","PI5Z_4h","PI5Z","4h",1.16452138635318,1.07979698518764e-08
"COA7","PI5Z_4h","PI5Z","4h",-1.03863871766359,4.77464097932408e-13
"COL4A1","PI5Z_24h","PI5Z","24h",-1.17719116451257,1.17375830257133e-09
"COL5A2","PI5Z_8h","PI5Z","8h",1.06672705923178,0.0112044513960916
"COL5A2","PI5Z_24h","PI5Z","24h",-1.22269754126147,0.0126278917355576
"COL5A3","PI5Z_4h","PI5Z","4h",1.00924896407657,0.00896490148135877
"COL5A3","PI5Z_24h","PI5Z","24h",1.9224094906223,3.52517256638179e-08
"COLCA2","PI5Z_8h","PI5Z","8h",1.13894417582006,0.00201723493369317
"COQ8A","PI5Z_4h","PI5Z","4h",1.50595480878504,2.52345995733301e-26
"COQ8A","PI5Z_8h","PI5Z","8h",1.02203231096982,1.50849343601904e-19
"CORO1A","PI5Z_8h","PI5Z","8h",-1.10060666555299,0.000865524856244492
"CPNE2","PI5Z_24h","PI5Z","24h",1.07360602199508,1.19689344343884e-15
"CPNE7","PI5Z_8h","PI5Z","8h",-1.01207913602733,2.18131853299276e-07
"CRABP2","PI5Z_8h","PI5Z","8h",-1.00188865709593,4.94556329449167e-15
"CRAT","PI5Z_8h","PI5Z","8h",1.18289932037568,0.0051030618908516
"CRYL1","PI5Z_8h","PI5Z","8h",1.00416127605039,0.00117225189534961
"CRYZL2P","PI5Z_24h","PI5Z","24h",1.06892005079515,0.00175176980416659
"CSMD3","PI5Z_8h","PI5Z","8h",-1.62681352439318,0.00206037159268243
"CSMD3","PI5Z_24h","PI5Z","24h",-1.09811140917376,0.00725663336164542
"CSRNP1","PI5Z_1h","PI5Z","1h",-1.21270301221974,8.7478458359306e-09
"CSRNP1","PI5Z_2h","PI5Z","2h",-1.53245529326294,1.13918010652921e-10
"CSRP2","PI5Z_24h","PI5Z","24h",1.09432001706505,0.00148635373804891
"CST1","PI5Z_24h","PI5Z","24h",1.16119628282499,1.98417972215794e-12
"CST2","PI5Z_24h","PI5Z","24h",1.17538975248673,7.59689977769868e-13
"CTSH","PI5Z_24h","PI5Z","24h",1.21244067848957,3.28291615141455e-20
"CTSK","PI5Z_8h","PI5Z","8h",1.05915253018481,3.98735243679486e-08
"CTSO","PI5Z_8h","PI5Z","8h",1.7015875366385,1.44931005143673e-09
"CTSO","PI5Z_24h","PI5Z","24h",1.45421788733591,8.01998371086482e-09
"CTXN1","PI5Z_24h","PI5Z","24h",1.28122451050061,9.63908670382225e-13
"CUTA","PI5Z_24h","PI5Z","24h",1.24517604882442,1.77097846321281e-16
"CWC27","PI5Z_24h","PI5Z","24h",-1.0249383725523,2.65871894129128e-15
"CYCS","PI5Z_4h","PI5Z","4h",-1.01775597548499,6.58016968906851e-14
"CYCS","PI5Z_8h","PI5Z","8h",-1.45224050194593,8.51662068091572e-20
"CYP51A1","PI5Z_24h","PI5Z","24h",1.26104057286288,4.51407301619817e-12
"CYTH3","PI5Z_24h","PI5Z","24h",1.04086253315476,4.72667153314299e-11
"DAB2","PI5Z_24h","PI5Z","24h",1.00771646566734,3.85361708445823e-10
"DCBLD1","PI5Z_8h","PI5Z","8h",-1.00956658768983,9.71939650514061e-10
"DCTPP1","PI5Z_8h","PI5Z","8h",-1.06166596582862,5.55868655670599e-15
"DCUN1D5","PI5Z_24h","PI5Z","24h",-1.20563668459574,6.01522646262672e-18
"DDIAS","PI5Z_8h","PI5Z","8h",-1.32974666342293,3.63766538780177e-13
"DDX31","PI5Z_8h","PI5Z","8h",-1.01662153931253,5.6085057885157e-16
