"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"SLC45A3","PIPD_4h","PIPD","4h",-1.00891383058592,4.55998982260317e-14
"SLC48A1","PIPD_24h","PIPD","24h",-1.2122657709321,1.0823686730356e-13
"SLC5A6","PIPD_8h","PIPD","8h",-1.21003482765134,3.06049502777483e-22
"SLC66A3","PIPD_24h","PIPD","24h",1.27415114598364,1.24949804667904e-16
"SLC7A1","PIPD_8h","PIPD","8h",-1.113321807588,3.73362836533623e-05
"SLC7A1","PIPD_24h","PIPD","24h",-1.73700664176038,1.01756783412416e-09
"SLC7A2","PIPD_8h","PIPD","8h",-1.23412634904231,4.8273298411086e-07
"SLC8A1","PIPD_8h","PIPD","8h",1.17283422095087,0.00143493553574546
"SLCO3A1","PIPD_24h","PIPD","24h",1.20328976078682,1.15787264937758e-17
"SLCO4A1","PIPD_4h","PIPD","4h",-1.07527524093452,9.21860426811822e-13
"SLCO4A1","PIPD_8h","PIPD","8h",-1.34509767904048,1.47032806288737e-16
"SLFNL1-AS1","PIPD_4h","PIPD","4h",-1.17443812699017,0.0163511686010395
"SMAD6","PIPD_8h","PIPD","8h",-1.07720885568087,2.92721341848428e-08
"SMARCD3","PIPD_24h","PIPD","24h",1.01320471264248,1.7726306131898e-14
"SMIM19","PIPD_8h","PIPD","8h",1.13662536966224,1.6560090433064e-07
"SNCG","PIPD_8h","PIPD","8h",1.2585375580301,0.00630824651608062
"SNHG18","PIPD_24h","PIPD","24h",1.02921217533212,5.11350508964644e-13
"SNHG29","PIPD_24h","PIPD","24h",-1.15071729978373,2.04147810016563e-12
"SNRPFP1","PIPD_8h","PIPD","8h",-1.21177174648756,2.82203702556835e-05
"SNX25P1","PIPD_8h","PIPD","8h",-1.33065809057244,0.00989909966283331
"SNX33","PIPD_4h","PIPD","4h",1.09760753843715,5.06640638442903e-16
"SNX33","PIPD_24h","PIPD","24h",1.02835488386993,1.98317666557738e-16
"SNX5","PIPD_24h","PIPD","24h",-1.08697144357324,1.30521934774642e-20
"SOAT1","PIPD_8h","PIPD","8h",-1.20104964340379,0.000200528012163882
"SOAT1","PIPD_24h","PIPD","24h",-1.11402916353209,0.00614618402642344
"SOX4","PIPD_4h","PIPD","4h",1.00209092391646,3.93995936946589e-11
"SOX4","PIPD_24h","PIPD","24h",1.19034559416416,1.39575222097499e-14
"SPACA9","PIPD_8h","PIPD","8h",1.50935640223929,0.000149020953249068
"SRFBP1","PIPD_24h","PIPD","24h",-1.08261024342769,2.15400197082148e-13
"SRM","PIPD_8h","PIPD","8h",-1.63817575883809,6.55223085427472e-20
"SRM","PIPD_24h","PIPD","24h",-1.05231477344905,3.43866276215791e-12
"SRP14-AS1","PIPD_8h","PIPD","8h",1.32639738877492,0.000262810495201721
"SRPRB","PIPD_8h","PIPD","8h",-1.45261051770455,1.68638556419118e-21
"SRSF1","PIPD_24h","PIPD","24h",-1.01716715973347,2.01103345957469e-23
"SRSF7","PIPD_4h","PIPD","4h",-1.26226862017903,9.40250543215457e-13
"SSH3","PIPD_24h","PIPD","24h",1.04181088250289,3.37629259667659e-18
"SSR4P1","PIPD_4h","PIPD","4h",1.25967447763793,1.103720239168e-07
"SSR4P1","PIPD_24h","PIPD","24h",1.06526813143306,3.73619107154116e-08
"SSRP1","PIPD_24h","PIPD","24h",-1.08811346687016,2.80917983641294e-20
"ST20-MTHFS","PIPD_8h","PIPD","8h",-1.11974335129117,0.00216605465762611
"ST6GALNAC3","PIPD_8h","PIPD","8h",1.08294511191805,0.000118961207108129
"STAT6","PIPD_24h","PIPD","24h",1.31527941155322,2.33654003341025e-23
"STK17B","PIPD_2h","PIPD","2h",1.0034442455004,1.13631574117318e-12
"STK40","PIPD_24h","PIPD","24h",-1.08764330235658,2.0902718861888e-14
"STMN3","PIPD_24h","PIPD","24h",1.42731968741476,8.98773661763614e-09
"STX16-NPEPL1","PIPD_24h","PIPD","24h",1.32660390360304,0.023841131163895
"SURF2","PIPD_8h","PIPD","8h",-1.06483410541708,1.45299351292692e-14
"SURF2","PIPD_24h","PIPD","24h",-1.20307630865417,2.87767095800804e-15
"SYNE3","PIPD_24h","PIPD","24h",-1.21000440992104,0.000163421114273198
"SYNGR3","PIPD_24h","PIPD","24h",1.13172988158983,4.8441424195505e-10
"TAF15","PIPD_24h","PIPD","24h",-1.08304269503859,1.97660151261214e-23
"TAF5","PIPD_24h","PIPD","24h",-1.03381875072405,1.52277779190203e-09
"TAP1","PIPD_24h","PIPD","24h",1.07582379663584,3.87738448293568e-23
"TAPT1-AS1","PIPD_8h","PIPD","8h",1.33778654745709,0.000330225011921433
"TARS1","PIPD_8h","PIPD","8h",-1.16849368527529,4.49703946383111e-08
"TARS1","PIPD_24h","PIPD","24h",-1.44011343900502,6.99071767082131e-11
"TARS3","PIPD_24h","PIPD","24h",1.27329933148577,1.93875865761495e-18
"TAS2R14","PIPD_8h","PIPD","8h",-1.34814665010427,0.014753683366229
"TAS2R14","PIPD_24h","PIPD","24h",-1.19344243153394,0.00587621575164693
"TASOR2","PIPD_8h","PIPD","8h",-1.03206917008085,4.08750900205622e-17
"TASOR2","PIPD_24h","PIPD","24h",-1.25707938568249,2.59319283341404e-21
"TATDN1","PIPD_24h","PIPD","24h",-1.07024369859427,3.09348295993518e-14
"TBC1D17","PIPD_4h","PIPD","4h",1.00224240146684,2.78833231345903e-13
"TBC1D29P","PIPD_8h","PIPD","8h",1.18161351422082,0.00306816900565355
"TBC1D29P","PIPD_24h","PIPD","24h",1.38387904346886,0.00136787560645488
"TBC1D3B","PIPD_8h","PIPD","8h",1.22903567707439,2.06944889633361e-07
"TBC1D3L","PIPD_8h","PIPD","8h",1.00963777472142,8.36669811157158e-08
"TCEAL9","PIPD_24h","PIPD","24h",1.20961957400491,1.1397834584772e-18
"TCEANC","PIPD_4h","PIPD","4h",1.04535766994449,0.00298567645347001
"TCF12","PIPD_24h","PIPD","24h",-1.40719866254261,3.15541771548026e-15
"TDRD7","PIPD_24h","PIPD","24h",1.11288522342551,2.75719228043362e-24
"TEDC2","PIPD_8h","PIPD","8h",-1.19582308289487,1.7186605908439e-14
"TEN1-CDK3","PIPD_24h","PIPD","24h",1.02074414525992,0.0487609636737263
"TENT5A","PIPD_24h","PIPD","24h",1.08439208665667,6.7673552825962e-08
"TEX19","PIPD_4h","PIPD","4h",1.35905216349731,6.32834087343675e-09
"TFDP2","PIPD_4h","PIPD","4h",1.07386906563293,1.81023665300642e-14
"TFDP2","PIPD_8h","PIPD","8h",1.06637234473275,2.37757360204714e-15
"TGFB3","PIPD_24h","PIPD","24h",1.25782771187933,1.90191566068525e-07
"THAP10","PIPD_24h","PIPD","24h",-1.02089837354097,7.73220934461291e-07
"THAP2","PIPD_24h","PIPD","24h",-1.11420843601287,5.16681480849935e-07
"THAP8","PIPD_4h","PIPD","4h",1.00314189870541,4.48921658701189e-07
"THAP8","PIPD_24h","PIPD","24h",1.20992100856813,2.68488173608506e-12
"THAP9-AS1","PIPD_24h","PIPD","24h",-1.01611129937512,2.04925653082604e-10
"TIMM9","PIPD_24h","PIPD","24h",-1.22910916509687,1.93284569309871e-18
"TIMP2","PIPD_24h","PIPD","24h",1.43317489932429,3.57253061172163e-20
"TLCD3A","PIPD_4h","PIPD","4h",-1.11276838758582,2.56962789621059e-13
"TLR5","PIPD_8h","PIPD","8h",1.39441427390948,0.00714742692510264
"TLR7","PIPD_24h","PIPD","24h",1.54278888514591,0.00182729742178319
"TMEM109","PIPD_8h","PIPD","8h",-1.20707230104272,7.05774057864706e-14
"TMEM132A","PIPD_24h","PIPD","24h",1.24282170934288,4.00087853253497e-18
"TMEM138","PIPD_8h","PIPD","8h",-1.01275200672538,8.74875722778845e-13
"TMEM167B-DT","PIPD_4h","PIPD","4h",1.12175508922092,0.000630008761563746
"TMEM212","PIPD_24h","PIPD","24h",-1.22768716460884,0.000631061670708224
"TMEM267","PIPD_24h","PIPD","24h",-1.1700504998394,2.52420493850515e-08
"TMEM52","PIPD_8h","PIPD","8h",-1.00058965237772,3.22677742754588e-07
"TMEM88B","PIPD_8h","PIPD","8h",1.25403752526989,5.17965042934163e-12
"TMEM88B","PIPD_24h","PIPD","24h",1.67960813692084,5.20139189595412e-18
"TMEM9B-AS1","PIPD_4h","PIPD","4h",1.30549484943983,0.0215511276121803
"TMPRSS13","PIPD_24h","PIPD","24h",1.0345718947474,6.42927351146899e-19
"TMSB4XP4","PIPD_24h","PIPD","24h",1.43150867755681,0.0173290104506779
"TMTC4","PIPD_24h","PIPD","24h",1.20038736319718,5.58833312768685e-20
"TNFRSF10B","PIPD_24h","PIPD","24h",-1.28950732276862,3.89997393171721e-22
"TNFRSF13C","PIPD_4h","PIPD","4h",1.31538974031886,0.00689105758091048
"TNIK","PIPD_24h","PIPD","24h",-1.19252122884618,2.82523577353621e-21
"TNKS","PIPD_4h","PIPD","4h",1.02999705463002,9.07743728323702e-16
"TNNT1","PIPD_24h","PIPD","24h",1.20267816271805,8.06669651617146e-17
"TNS1","PIPD_8h","PIPD","8h",1.07817570705515,1.89939427744144e-10
"TNS1","PIPD_24h","PIPD","24h",1.19623074384047,5.56651170931413e-12
"TNS3","PIPD_24h","PIPD","24h",1.10828852685265,3.10611365302172e-18
"TOB2P1","PIPD_4h","PIPD","4h",1.36109270156283,0.0202796760993799
"TOMM40","PIPD_8h","PIPD","8h",-1.72308971985948,3.89428818482475e-20
"TOMM5","PIPD_4h","PIPD","4h",-1.05159965204898,4.837631754819e-11
"TOMM5","PIPD_8h","PIPD","8h",-1.18934101805205,1.48561733756473e-12
"TONSL","PIPD_8h","PIPD","8h",-1.08762319891788,1.44449946108631e-13
"TOR1AIP2","PIPD_4h","PIPD","4h",1.00722628729352,4.13223737330739e-18
"TP53INP1","PIPD_4h","PIPD","4h",1.26165509007038,4.63367219573123e-17
"TPP1","PIPD_24h","PIPD","24h",1.02608057057038,1.32369365524946e-20
"TRABD2A","PIPD_8h","PIPD","8h",-1.11116829891509,1.71520543146624e-10
"TRABD2A","PIPD_24h","PIPD","24h",-1.00413594235592,2.17242619896219e-09
"TRAIP","PIPD_24h","PIPD","24h",-1.3272905637395,6.206321521477e-11
"TRAM1","PIPD_24h","PIPD","24h",1.07662009961253,1.05452870367938e-24
"TRAPPC6A","PIPD_8h","PIPD","8h",1.08701323257518,3.17895362870134e-09
"TRIM22","PIPD_24h","PIPD","24h",1.08153912205675,5.09123557400879e-08
"TRIM23","PIPD_2h","PIPD","2h",1.06368119814335,2.55628430630449e-12
"TRIM23","PIPD_4h","PIPD","4h",1.13772294418281,1.05719479637007e-15
"TRMT61A","PIPD_4h","PIPD","4h",-1.23323158000189,4.86595780952911e-18
"TRMT61A","PIPD_8h","PIPD","8h",-1.3573757073567,1.56684342736442e-19
"TRPM7","PIPD_24h","PIPD","24h",1.34671761547633,1.52860324969689e-15
"TSC22D1","PIPD_24h","PIPD","24h",-1.18172521113258,8.87637016308791e-17
"TSEN15","PIPD_24h","PIPD","24h",-1.71734824524526,1.71209168285047e-13
"TSHZ1","PIPD_4h","PIPD","4h",1.07616374518807,3.52177627194472e-08
"TSNAXIP1","PIPD_4h","PIPD","4h",1.25739223416135,0.0455607316974265
"TSR1","PIPD_8h","PIPD","8h",-1.12228555270702,2.72746215205221e-20
"TTC27","PIPD_24h","PIPD","24h",-1.02402363206887,2.22252174381671e-12
"TTC30B","PIPD_4h","PIPD","4h",1.0951671092264,5.23829016914145e-08
"TTLL12","PIPD_8h","PIPD","8h",-1.00485487143412,7.53051554099481e-13
"TTLL3","PIPD_24h","PIPD","24h",1.18036618762451,4.46085090161616e-09
